web-scraper-order,web-scraper-start-url,Día,Hora,Condiciones meteorológicas,Temperatura,Viento,Humedad,Presión,pagination
"1680016216-320","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Sábado 7 Diciembre 2019","05:00","Parcialmente cubierto","17°","20 km/h","72%","1021 hPa","https://www.tutiempo.net/registros/gclp/7-diciembre-2019.html"
"1680016216-321","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Sábado 7 Diciembre 2019","05:30","Nubes dispersas","17°","20 km/h","72%","1021 hPa","https://www.tutiempo.net/registros/gclp/7-diciembre-2019.html"
"1680016216-322","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Sábado 7 Diciembre 2019","06:00","Nubes dispersas","17°","22 km/h","72%","1020 hPa","https://www.tutiempo.net/registros/gclp/7-diciembre-2019.html"
"1680016216-323","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Sábado 7 Diciembre 2019","06:30","Nubes dispersas","17°","22 km/h","72%","1021 hPa","https://www.tutiempo.net/registros/gclp/7-diciembre-2019.html"
"1680016216-324","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Sábado 7 Diciembre 2019","07:00","Parcialmente cubierto","17°","22 km/h","77%","1021 hPa","https://www.tutiempo.net/registros/gclp/7-diciembre-2019.html"
"1680016216-325","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Sábado 7 Diciembre 2019","07:30","Parcialmente cubierto","17°","20 km/h","77%","1021 hPa","https://www.tutiempo.net/registros/gclp/7-diciembre-2019.html"
"1680016216-326","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Sábado 7 Diciembre 2019","08:00","Parcialmente cubierto","18°","22 km/h","73%","1022 hPa","https://www.tutiempo.net/registros/gclp/7-diciembre-2019.html"
"1680016216-327","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Sábado 7 Diciembre 2019","08:30","Nubes dispersas","18°","22 km/h","77%","1022 hPa","https://www.tutiempo.net/registros/gclp/7-diciembre-2019.html"
"1680016216-328","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Sábado 7 Diciembre 2019","09:00","Nubes dispersas","18°","22 km/h","77%","1022 hPa","https://www.tutiempo.net/registros/gclp/7-diciembre-2019.html"
"1680016216-329","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Sábado 7 Diciembre 2019","09:30","Parcialmente cubierto","19°","32 km/h","68%","1023 hPa","https://www.tutiempo.net/registros/gclp/7-diciembre-2019.html"
"1680016216-330","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Sábado 7 Diciembre 2019","10:00","Mayormente cubierto","20°","30 km/h","68%","1023 hPa","https://www.tutiempo.net/registros/gclp/7-diciembre-2019.html"
"1680016216-331","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Sábado 7 Diciembre 2019","10:30","Mayormente cubierto","20°","32 km/h","73%","1023 hPa","https://www.tutiempo.net/registros/gclp/7-diciembre-2019.html"
"1680016216-332","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Sábado 7 Diciembre 2019","11:00","Mayormente cubierto","21°","33 km/h","69%","1023 hPa","https://www.tutiempo.net/registros/gclp/7-diciembre-2019.html"
"1680016216-333","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Sábado 7 Diciembre 2019","11:30","Mayormente cubierto","21°","33 km/h","69%","1024 hPa","https://www.tutiempo.net/registros/gclp/7-diciembre-2019.html"
"1680016216-334","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Sábado 7 Diciembre 2019","12:00","Mayormente cubierto","21°","35 km/h","69%","1023 hPa","https://www.tutiempo.net/registros/gclp/7-diciembre-2019.html"
"1680016216-335","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Sábado 7 Diciembre 2019","12:30","Mayormente cubierto","21°","33 km/h","69%","1023 hPa","https://www.tutiempo.net/registros/gclp/7-diciembre-2019.html"
"1680016216-336","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Sábado 7 Diciembre 2019","13:00","Mayormente cubierto","21°","33 km/h","69%","1023 hPa","https://www.tutiempo.net/registros/gclp/7-diciembre-2019.html"
"1680016216-337","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Sábado 7 Diciembre 2019","13:30","Mayormente cubierto","21°","37 km/h","69%","1022 hPa","https://www.tutiempo.net/registros/gclp/7-diciembre-2019.html"
"1680016216-338","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Sábado 7 Diciembre 2019","14:00","Mayormente cubierto","21°","37 km/h","69%","1022 hPa","https://www.tutiempo.net/registros/gclp/7-diciembre-2019.html"
"1680016216-339","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Sábado 7 Diciembre 2019","14:30","Mayormente cubierto","21°","33 km/h","64%","1022 hPa","https://www.tutiempo.net/registros/gclp/7-diciembre-2019.html"
"1680016216-340","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Sábado 7 Diciembre 2019","15:00","Mayormente cubierto","21°","37 km/h","64%","1022 hPa","https://www.tutiempo.net/registros/gclp/7-diciembre-2019.html"
"1680016216-341","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Sábado 7 Diciembre 2019","15:30","Mayormente cubierto","21°","35 km/h","64%","1022 hPa","https://www.tutiempo.net/registros/gclp/7-diciembre-2019.html"
"1680016216-342","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Sábado 7 Diciembre 2019","16:00","Lluvia ligera","20°","35 km/h","73%","1022 hPa","https://www.tutiempo.net/registros/gclp/7-diciembre-2019.html"
"1680016216-343","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Sábado 7 Diciembre 2019","16:30","Mayormente cubierto","20°","35 km/h","73%","1022 hPa","https://www.tutiempo.net/registros/gclp/7-diciembre-2019.html"
"1680016216-344","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Sábado 7 Diciembre 2019","17:00","Mayormente cubierto","20°","37 km/h","73%","1022 hPa","https://www.tutiempo.net/registros/gclp/7-diciembre-2019.html"
"1680016216-345","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Sábado 7 Diciembre 2019","17:30","Parcialmente cubierto","20°","39 km/h","73%","1023 hPa","https://www.tutiempo.net/registros/gclp/7-diciembre-2019.html"
"1680016216-346","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Sábado 7 Diciembre 2019","18:00","Parcialmente cubierto","20°","37 km/h","73%","1023 hPa","https://www.tutiempo.net/registros/gclp/7-diciembre-2019.html"
"1680016216-347","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Sábado 7 Diciembre 2019","18:30","Parcialmente cubierto","19°","39 km/h","78%","1023 hPa","https://www.tutiempo.net/registros/gclp/7-diciembre-2019.html"
"1680016216-348","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Sábado 7 Diciembre 2019","19:00","Parcialmente cubierto","19°","35 km/h","73%","1023 hPa","https://www.tutiempo.net/registros/gclp/7-diciembre-2019.html"
"1680016216-349","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Sábado 7 Diciembre 2019","19:30","Parcialmente cubierto","19°","32 km/h","78%","1024 hPa","https://www.tutiempo.net/registros/gclp/7-diciembre-2019.html"
"1680016216-350","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Sábado 7 Diciembre 2019","20:00","Parcialmente cubierto","19°","37 km/h","78%","1024 hPa","https://www.tutiempo.net/registros/gclp/7-diciembre-2019.html"
"1680016216-351","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Sábado 7 Diciembre 2019","20:30","Parcialmente cubierto","19°","37 km/h","78%","1025 hPa","https://www.tutiempo.net/registros/gclp/7-diciembre-2019.html"
"1680016216-352","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Sábado 7 Diciembre 2019","21:00","Parcialmente cubierto","19°","35 km/h","78%","1025 hPa","https://www.tutiempo.net/registros/gclp/7-diciembre-2019.html"
"1680016216-353","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Sábado 7 Diciembre 2019","21:30","Nubes dispersas","19°","35 km/h","78%","1025 hPa","https://www.tutiempo.net/registros/gclp/7-diciembre-2019.html"
"1680016216-354","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Sábado 7 Diciembre 2019","22:00","Parcialmente cubierto","19°","30 km/h","73%","1025 hPa","https://www.tutiempo.net/registros/gclp/7-diciembre-2019.html"
"1680016216-355","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Sábado 7 Diciembre 2019","22:30","Parcialmente cubierto","19°","32 km/h","78%","1026 hPa","https://www.tutiempo.net/registros/gclp/7-diciembre-2019.html"
"1680016216-356","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Sábado 7 Diciembre 2019","23:00","Nubes dispersas","19°","32 km/h","78%","1026 hPa","https://www.tutiempo.net/registros/gclp/7-diciembre-2019.html"
"1680016216-357","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Sábado 7 Diciembre 2019","23:30","Nubes dispersas","19°","35 km/h","73%","1026 hPa","https://www.tutiempo.net/registros/gclp/7-diciembre-2019.html"
"1680016218-358","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 8 Diciembre 2019","00:00","Nubes dispersas","19°","30 km/h","78%","1026 hPa","https://www.tutiempo.net/registros/gclp/8-diciembre-2019.html"
"1680016218-359","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 8 Diciembre 2019","null","null","null","null","null","null","https://www.tutiempo.net/registros/gclp/8-diciembre-2019.html"
"1680016218-360","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 8 Diciembre 2019","00:30","Parcialmente cubierto","19°","30 km/h","78%","1025 hPa","https://www.tutiempo.net/registros/gclp/8-diciembre-2019.html"
"1680016218-361","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 8 Diciembre 2019","01:00","Parcialmente cubierto","19°","33 km/h","78%","1025 hPa","https://www.tutiempo.net/registros/gclp/8-diciembre-2019.html"
"1680016218-362","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 8 Diciembre 2019","01:30","Parcialmente cubierto","19°","35 km/h","73%","1025 hPa","https://www.tutiempo.net/registros/gclp/8-diciembre-2019.html"
"1680016218-363","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 8 Diciembre 2019","02:00","Parcialmente cubierto","19°","37 km/h","78%","1025 hPa","https://www.tutiempo.net/registros/gclp/8-diciembre-2019.html"
"1680016218-364","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 8 Diciembre 2019","02:30","Parcialmente cubierto","19°","37 km/h","73%","1025 hPa","https://www.tutiempo.net/registros/gclp/8-diciembre-2019.html"
"1680016218-365","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 8 Diciembre 2019","03:00","Parcialmente cubierto","18°","33 km/h","77%","1025 hPa","https://www.tutiempo.net/registros/gclp/8-diciembre-2019.html"
"1680016218-366","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 8 Diciembre 2019","03:30","Parcialmente cubierto","18°","37 km/h","77%","1024 hPa","https://www.tutiempo.net/registros/gclp/8-diciembre-2019.html"
"1680016218-367","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 8 Diciembre 2019","04:00","Parcialmente cubierto","18°","35 km/h","77%","1024 hPa","https://www.tutiempo.net/registros/gclp/8-diciembre-2019.html"
"1680016218-368","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 8 Diciembre 2019","04:30","Parcialmente cubierto","18°","35 km/h","77%","1024 hPa","https://www.tutiempo.net/registros/gclp/8-diciembre-2019.html"
"1680016218-369","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 8 Diciembre 2019","05:00","Parcialmente cubierto","18°","35 km/h","73%","1024 hPa","https://www.tutiempo.net/registros/gclp/8-diciembre-2019.html"
"1680016218-370","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 8 Diciembre 2019","05:30","Nubes dispersas","18°","30 km/h","73%","1024 hPa","https://www.tutiempo.net/registros/gclp/8-diciembre-2019.html"
"1680016218-371","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 8 Diciembre 2019","06:00","Nubes dispersas","18°","26 km/h","73%","1025 hPa","https://www.tutiempo.net/registros/gclp/8-diciembre-2019.html"
"1680016218-372","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 8 Diciembre 2019","06:30","Nubes dispersas","18°","28 km/h","73%","1025 hPa","https://www.tutiempo.net/registros/gclp/8-diciembre-2019.html"
"1680016218-373","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 8 Diciembre 2019","07:00","Nubes dispersas","18°","28 km/h","73%","1025 hPa","https://www.tutiempo.net/registros/gclp/8-diciembre-2019.html"
"1680016218-374","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 8 Diciembre 2019","07:30","Parcialmente cubierto","18°","30 km/h","68%","1025 hPa","https://www.tutiempo.net/registros/gclp/8-diciembre-2019.html"
"1680016218-375","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 8 Diciembre 2019","08:00","Parcialmente cubierto","18°","24 km/h","68%","1026 hPa","https://www.tutiempo.net/registros/gclp/8-diciembre-2019.html"
"1680016218-376","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 8 Diciembre 2019","08:30","Nubes dispersas","19°","28 km/h","64%","1026 hPa","https://www.tutiempo.net/registros/gclp/8-diciembre-2019.html"
"1680016218-377","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 8 Diciembre 2019","09:00","Mayormente cubierto","19°","30 km/h","73%","1026 hPa","https://www.tutiempo.net/registros/gclp/8-diciembre-2019.html"
"1680016218-378","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 8 Diciembre 2019","09:30","Nubes dispersas","20°","33 km/h","60%","1027 hPa","https://www.tutiempo.net/registros/gclp/8-diciembre-2019.html"
"1680016218-379","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 8 Diciembre 2019","10:00","Nubes dispersas","20°","33 km/h","64%","1027 hPa","https://www.tutiempo.net/registros/gclp/8-diciembre-2019.html"
"1680016218-380","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 8 Diciembre 2019","10:30","Nubes dispersas","21°","35 km/h","60%","1027 hPa","https://www.tutiempo.net/registros/gclp/8-diciembre-2019.html"
"1680016218-381","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 8 Diciembre 2019","11:00","Nubes dispersas","21°","39 km/h","60%","1027 hPa","https://www.tutiempo.net/registros/gclp/8-diciembre-2019.html"
"1680016218-382","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 8 Diciembre 2019","11:30","Nubes dispersas","21°","39 km/h","60%","1027 hPa","https://www.tutiempo.net/registros/gclp/8-diciembre-2019.html"
"1680016218-383","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 8 Diciembre 2019","12:00","Nubes dispersas","21°","37 km/h","64%","1027 hPa","https://www.tutiempo.net/registros/gclp/8-diciembre-2019.html"
"1680016218-384","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 8 Diciembre 2019","12:30","Nubes dispersas","21°","37 km/h","60%","1026 hPa","https://www.tutiempo.net/registros/gclp/8-diciembre-2019.html"
"1680016218-385","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 8 Diciembre 2019","13:00","Parcialmente cubierto","21°","41 km/h","60%","1026 hPa","https://www.tutiempo.net/registros/gclp/8-diciembre-2019.html"
"1680016218-386","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 8 Diciembre 2019","13:30","Nubes dispersas","21°","39 km/h","60%","1025 hPa","https://www.tutiempo.net/registros/gclp/8-diciembre-2019.html"
"1680016218-387","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 8 Diciembre 2019","14:00","Nubes dispersas","22°","37 km/h","60%","1025 hPa","https://www.tutiempo.net/registros/gclp/8-diciembre-2019.html"
"1680016218-388","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 8 Diciembre 2019","14:30","Parcialmente cubierto","21°","39 km/h","60%","1025 hPa","https://www.tutiempo.net/registros/gclp/8-diciembre-2019.html"
"1680016218-389","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 8 Diciembre 2019","15:00","Parcialmente cubierto","21°","39 km/h","64%","1024 hPa","https://www.tutiempo.net/registros/gclp/8-diciembre-2019.html"
"1680016218-390","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 8 Diciembre 2019","15:30","Parcialmente cubierto","21°","39 km/h","64%","1025 hPa","https://www.tutiempo.net/registros/gclp/8-diciembre-2019.html"
"1680016218-391","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 8 Diciembre 2019","16:00","Nubes dispersas","21°","41 km/h","60%","1024 hPa","https://www.tutiempo.net/registros/gclp/8-diciembre-2019.html"
"1680016218-392","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 8 Diciembre 2019","16:30","Nubes dispersas","20°","39 km/h","64%","1024 hPa","https://www.tutiempo.net/registros/gclp/8-diciembre-2019.html"
"1680016218-393","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 8 Diciembre 2019","17:00","Nubes dispersas","20°","37 km/h","64%","1024 hPa","https://www.tutiempo.net/registros/gclp/8-diciembre-2019.html"
"1680016218-394","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 8 Diciembre 2019","17:30","Nubes dispersas","20°","35 km/h","60%","1025 hPa","https://www.tutiempo.net/registros/gclp/8-diciembre-2019.html"
"1680016218-395","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 8 Diciembre 2019","18:00","Nubes dispersas","19°","35 km/h","68%","1025 hPa","https://www.tutiempo.net/registros/gclp/8-diciembre-2019.html"
"1680016218-396","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 8 Diciembre 2019","18:30","Nubes dispersas","19°","30 km/h","68%","1025 hPa","https://www.tutiempo.net/registros/gclp/8-diciembre-2019.html"
"1680016218-397","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 8 Diciembre 2019","19:00","Nubes dispersas","19°","28 km/h","68%","1025 hPa","https://www.tutiempo.net/registros/gclp/8-diciembre-2019.html"
"1680016218-398","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 8 Diciembre 2019","19:30","Nubes dispersas","19°","30 km/h","68%","1026 hPa","https://www.tutiempo.net/registros/gclp/8-diciembre-2019.html"
"1680016218-399","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 8 Diciembre 2019","20:00","Parcialmente cubierto","19°","35 km/h","73%","1026 hPa","https://www.tutiempo.net/registros/gclp/8-diciembre-2019.html"
"1680016218-400","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 8 Diciembre 2019","20:30","Parcialmente cubierto","19°","33 km/h","68%","1026 hPa","https://www.tutiempo.net/registros/gclp/8-diciembre-2019.html"
"1680016218-401","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 8 Diciembre 2019","21:00","Parcialmente cubierto","19°","35 km/h","68%","1026 hPa","https://www.tutiempo.net/registros/gclp/8-diciembre-2019.html"
"1680016218-402","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 8 Diciembre 2019","21:30","Mayormente cubierto","19°","33 km/h","73%","1027 hPa","https://www.tutiempo.net/registros/gclp/8-diciembre-2019.html"
"1680016218-403","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 8 Diciembre 2019","22:00","Parcialmente cubierto","19°","33 km/h","68%","1027 hPa","https://www.tutiempo.net/registros/gclp/8-diciembre-2019.html"
"1680016218-404","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 8 Diciembre 2019","22:30","Parcialmente cubierto","19°","28 km/h","68%","1027 hPa","https://www.tutiempo.net/registros/gclp/8-diciembre-2019.html"
"1680016218-405","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 8 Diciembre 2019","23:00","Mayormente cubierto","19°","32 km/h","68%","1027 hPa","https://www.tutiempo.net/registros/gclp/8-diciembre-2019.html"
"1680016218-406","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 8 Diciembre 2019","23:30","Parcialmente cubierto","19°","30 km/h","68%","1027 hPa","https://www.tutiempo.net/registros/gclp/8-diciembre-2019.html"
"1680016221-407","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 9 Diciembre 2019","00:00","Mayormente cubierto","18°","26 km/h","73%","1027 hPa","https://www.tutiempo.net/registros/gclp/9-diciembre-2019.html"
"1680016221-408","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 9 Diciembre 2019","null","null","null","null","null","null","https://www.tutiempo.net/registros/gclp/9-diciembre-2019.html"
"1680016221-409","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 9 Diciembre 2019","00:30","Mayormente cubierto","19°","28 km/h","68%","1027 hPa","https://www.tutiempo.net/registros/gclp/9-diciembre-2019.html"
"1680016221-410","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 9 Diciembre 2019","01:00","Parcialmente cubierto","19°","30 km/h","68%","1027 hPa","https://www.tutiempo.net/registros/gclp/9-diciembre-2019.html"
"1680016221-411","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 9 Diciembre 2019","01:30","Mayormente cubierto","19°","30 km/h","73%","1027 hPa","https://www.tutiempo.net/registros/gclp/9-diciembre-2019.html"
"1680016221-412","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 9 Diciembre 2019","02:00","Mayormente cubierto","19°","30 km/h","73%","1027 hPa","https://www.tutiempo.net/registros/gclp/9-diciembre-2019.html"
"1680016221-413","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 9 Diciembre 2019","02:30","Parcialmente cubierto","18°","28 km/h","73%","1026 hPa","https://www.tutiempo.net/registros/gclp/9-diciembre-2019.html"
"1680016221-414","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 9 Diciembre 2019","03:00","Parcialmente cubierto","18°","24 km/h","73%","1026 hPa","https://www.tutiempo.net/registros/gclp/9-diciembre-2019.html"
"1680016221-415","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 9 Diciembre 2019","03:30","Mayormente cubierto","18°","24 km/h","73%","1026 hPa","https://www.tutiempo.net/registros/gclp/9-diciembre-2019.html"
"1680016221-416","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 9 Diciembre 2019","04:00","Mayormente cubierto","18°","26 km/h","73%","1026 hPa","https://www.tutiempo.net/registros/gclp/9-diciembre-2019.html"
"1680016221-417","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 9 Diciembre 2019","04:30","Mayormente cubierto","18°","24 km/h","68%","1026 hPa","https://www.tutiempo.net/registros/gclp/9-diciembre-2019.html"
"1680016221-418","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 9 Diciembre 2019","05:00","Mayormente cubierto","18°","24 km/h","73%","1026 hPa","https://www.tutiempo.net/registros/gclp/9-diciembre-2019.html"
"1680016221-419","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 9 Diciembre 2019","05:30","Mayormente cubierto","18°","20 km/h","73%","1026 hPa","https://www.tutiempo.net/registros/gclp/9-diciembre-2019.html"
"1680016221-420","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 9 Diciembre 2019","06:00","Parcialmente cubierto","18°","26 km/h","73%","1026 hPa","https://www.tutiempo.net/registros/gclp/9-diciembre-2019.html"
"1680016221-421","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 9 Diciembre 2019","06:30","Mayormente cubierto","18°","26 km/h","73%","1026 hPa","https://www.tutiempo.net/registros/gclp/9-diciembre-2019.html"
"1680016221-422","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 9 Diciembre 2019","07:00","Mayormente cubierto","18°","24 km/h","73%","1027 hPa","https://www.tutiempo.net/registros/gclp/9-diciembre-2019.html"
"1680016221-423","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 9 Diciembre 2019","07:30","Parcialmente cubierto","18°","26 km/h","73%","1027 hPa","https://www.tutiempo.net/registros/gclp/9-diciembre-2019.html"
"1680016221-424","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 9 Diciembre 2019","08:00","Parcialmente cubierto","18°","26 km/h","77%","1027 hPa","https://www.tutiempo.net/registros/gclp/9-diciembre-2019.html"
"1680016221-425","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 9 Diciembre 2019","08:30","Parcialmente cubierto","19°","24 km/h","73%","1027 hPa","https://www.tutiempo.net/registros/gclp/9-diciembre-2019.html"
"1680016221-426","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 9 Diciembre 2019","09:00","Parcialmente cubierto","19°","22 km/h","73%","1028 hPa","https://www.tutiempo.net/registros/gclp/9-diciembre-2019.html"
"1680016221-427","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 9 Diciembre 2019","09:30","Parcialmente cubierto","19°","22 km/h","73%","1028 hPa","https://www.tutiempo.net/registros/gclp/9-diciembre-2019.html"
"1680016221-428","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 9 Diciembre 2019","10:00","Mayormente cubierto","19°","28 km/h","73%","1028 hPa","https://www.tutiempo.net/registros/gclp/9-diciembre-2019.html"
"1680016221-429","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 9 Diciembre 2019","10:30","Mayormente cubierto","20°","28 km/h","68%","1028 hPa","https://www.tutiempo.net/registros/gclp/9-diciembre-2019.html"
"1680016221-430","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 9 Diciembre 2019","11:00","Mayormente cubierto","20°","28 km/h","68%","1028 hPa","https://www.tutiempo.net/registros/gclp/9-diciembre-2019.html"
"1680016221-431","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 9 Diciembre 2019","11:30","Mayormente cubierto","20°","30 km/h","68%","1028 hPa","https://www.tutiempo.net/registros/gclp/9-diciembre-2019.html"
"1680016221-432","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 9 Diciembre 2019","12:00","Mayormente cubierto","20°","32 km/h","73%","1028 hPa","https://www.tutiempo.net/registros/gclp/9-diciembre-2019.html"
"1680016221-433","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 9 Diciembre 2019","12:30","Parcialmente cubierto","21°","32 km/h","64%","1028 hPa","https://www.tutiempo.net/registros/gclp/9-diciembre-2019.html"
"1680016221-434","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 9 Diciembre 2019","13:00","Parcialmente cubierto","22°","32 km/h","60%","1027 hPa","https://www.tutiempo.net/registros/gclp/9-diciembre-2019.html"
"1680016221-435","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 9 Diciembre 2019","13:30","Parcialmente cubierto","21°","32 km/h","64%","1027 hPa","https://www.tutiempo.net/registros/gclp/9-diciembre-2019.html"
